subjectNew,wordTarget,raterNumber,responseNumb
p09,beet-w,R01,2
p09,boosh-w,R01,2
p04,noo3-w,R03,2
p04,noo3-v,R03,2
p04,djuu3-w,R03,2
p04,djuu3-v,R03,2
p04,nuu7-w,R03,3
p04,nuu7-v,R03,2
p04,3oo3-w,R03,2
p04,3oo3-v,R03,2
p04,loo7-w,R03,2
p04,bii3-w,R03,3
p04,bii3-v,R03,2
p04,zii7-w,R03,3
p04,daas-w,R03,2
p04,maat-w,R03,2
p04,maat-v,R03,2
p04,7en-w,R03,2
p04,diin-w,R03,2
p04,zaa7-w,R03,2
p04,naa7-w,R03,2
p04,naa7-v,R03,2
p04,naam-w,R03,2
p04,naam-v,R03,2
p04,doom-w,R03,2
p04,doom-v,R03,2
p04,3oon-w,R03,2
p04,noom-w,R03,2
p04,muun-w,R03,2
p04,muus-w,R03,3
p04,mooz-w,R03,2
p04,7ook-w,R03,2
p04,7oom-w,R03,2
p04,3aaf-w,R03,2
p04,3eeb-w,R03,2
p04,3eeb-v,R03,2
p04,3aam-w,R03,2
p04,7aad-w,R03,3
p04,3een-w,R03,2
p04,3iish-w,R03,3
p04,7eef-w,R03,2
p04,7eef-v,R03,2
p04,saam-w,R03,2
p04,saam-v,R03,2
p04,baa3-w,R03,3
p04,beet-w,R03,2
p04,boosh-w,R03,2
p01,noo3-w,R03,3
p01,noo3-v,R03,2
p01,daas-w,R03,2
p01,maat-w,R03,2
p01,maat-v,R03,2
p01,7en-w,R03,2
p01,diin-w,R03,2
p01,zaa7-w,R03,2
p01,djuu3-w,R03,3
p01,djuu3-v,R03,2
p01,nuu7-w,R03,2
p01,nuu7-v,R03,2
p01,3oo3-w,R03,2
p01,3oo3-v,R03,2
p01,loo7-w,R03,2
p01,bii3-w,R03,3
p01,bii3-v,R03,2
p01,zii7-w,R03,3
p01,3oon-w,R03,3
p01,noom-w,R03,2
p01,muun-w,R03,2
p01,muus-w,R03,2
p01,mooz-w,R03,2
p01,7ook-w,R03,2
p01,7oom-w,R03,2
p01,3aaf-w,R03,2
p01,naa7-w,R03,2
p01,naa7-v,R03,2
p01,naam-w,R03,2
p01,naam-v,R03,2
p01,doom-w,R03,2
p01,doom-v,R03,2
p01,3eeb-w,R03,3
p01,3eeb-v,R03,2
p01,3aam-w,R03,2
p01,7aad-w,R03,2
p01,3een-w,R03,3
p01,3iish-w,R03,3
p01,7eef-w,R03,2
p01,7eef-v,R03,2
p01,saam-w,R03,2
p01,saam-v,R03,2
p01,baa3-w,R03,2
p01,beet-w,R03,2
p01,boosh-w,R03,2
p05,noo3-w,R03,2
p05,noo3-v,R03,2
p05,daas-w,R03,2
p05,maat-w,R03,2
p05,maat-v,R03,2
p05,7en-w,R03,3
p05,diin-w,R03,2
p05,zaa7-w,R03,2
p05,djuu3-w,R03,2
p05,djuu3-v,R03,2
p05,nuu7-w,R03,2
p05,nuu7-v,R03,2
p05,3oo3-w,R03,3
p05,3oo3-v,R03,2
p05,loo7-w,R03,2
p05,bii3-w,R03,3
p05,bii3-v,R03,2
p05,zii7-w,R03,2
p05,noom-w,R03,2
p05,muun-w,R03,2
p05,muus-w,R03,2
p05,mooz-w,R03,2
p05,7ook-w,R03,3
p05,7oom-w,R03,2
p05,3aaf-w,R03,3
p05,naa7-w,R03,2
p05,naa7-v,R03,2
p05,naam-w,R03,2
p05,naam-v,R03,2
p05,doom-w,R03,2
p05,doom-v,R03,2
p05,3oon-w,R03,3
p05,3eeb-w,R03,2
p05,3eeb-v,R03,2
p05,saam-w,R03,2
p05,saam-v,R03,2
p05,3aam-w,R03,3
p05,7aad-w,R03,2
p05,3een-w,R03,2
p05,3iish-w,R03,3
p05,7eef-w,R03,2
p05,7eef-v,R03,2
p05,baa3-w,R03,2
p05,beet-w,R03,2
p05,boosh-w,R03,2
p02,noo3-w,R03,2
p02,noo3-v,R03,2
p02,daas-w,R03,2
p02,maat-w,R03,2
p02,maat-v,R03,2
p02,7en-w,R03,2
p02,diin-w,R03,3
p02,zaa7-w,R03,2
p02,djuu3-w,R03,3
p02,djuu3-v,R03,2
p02,nuu7-w,R03,3
p02,nuu7-v,R03,2
p02,3oo3-w,R03,2
p02,3oo3-v,R03,2
p02,loo7-w,R03,2
p02,bii3-w,R03,3
p02,bii3-v,R03,2
p02,zii7-w,R03,3
p02,muus-w,R03,2
p02,mooz-w,R03,2
p02,7ook-w,R03,3
p02,7oom-w,R03,2
p02,naa7-w,R03,2
p02,3aaf-w,R03,2
p02,naa7-v,R03,2
p02,naam-w,R03,2
p02,naam-v,R03,2
p02,doom-w,R03,2
p02,doom-v,R03,2
p02,3oon-w,R03,2
p02,noom-w,R03,2
p02,muun-w,R03,3
p02,3eeb-w,R03,3
p02,saam-w,R03,2
p02,saam-v,R03,2
p02,3eeb-v,R03,2
p02,3aam-w,R03,2
p02,7aad-w,R03,2
p02,3een-w,R03,3
p02,3iish-w,R03,3
p02,7eef-w,R03,2
p02,7eef-v,R03,2
p02,baa3-w,R03,2
p02,beet-w,R03,2
p02,boosh-w,R03,2
p03,noo3-w,R03,2
p03,noo3-v,R03,2
p03,daas-w,R03,2
p03,maat-w,R03,2
p03,maat-v,R03,2
p03,7en-w,R03,2
p03,diin-w,R03,3
p03,zaa7-w,R03,2
p03,djuu3-w,R03,2
p03,djuu3-v,R03,2
p03,nuu7-w,R03,3
p03,nuu7-v,R03,2
p03,3oo3-w,R03,2
p03,3oo3-v,R03,2
p03,loo7-w,R03,2
p03,bii3-w,R03,3
p03,bii3-v,R03,2
p03,zii7-w,R03,3
p03,muun-w,R03,2
p03,muus-w,R03,2
p03,mooz-w,R03,2
p03,7ook-w,R03,2
p03,7oom-w,R03,2
p03,3aaf-w,R03,2
p03,naa7-w,R03,2
p03,naa7-v,R03,2
p03,naam-w,R03,2
p03,naam-v,R03,2
p03,doom-w,R03,2
p03,doom-v,R03,2
p03,3oon-w,R03,3
p03,noom-w,R03,2
p03,3eeb-w,R03,3
p03,3eeb-v,R03,2
p03,3aam-w,R03,2
p03,7aad-w,R03,3
p03,3een-w,R03,2
p03,3iish-w,R03,3
p03,7eef-w,R03,2
p03,7eef-v,R03,2
p03,saam-w,R03,2
p03,saam-v,R03,2
p03,baa3-w,R03,2
p03,beet-w,R03,2
p03,boosh-w,R03,2
p06,noo3-w,R03,2
p06,noo3-v,R03,2
p06,daas-w,R03,2
p06,maat-w,R03,2
p06,maat-v,R03,2
p06,7en-w,R03,2
p06,diin-w,R03,3
p06,zaa7-w,R03,2
p06,djuu3-w,R03,2
p06,djuu3-v,R03,2
p06,nuu7-w,R03,2
p06,nuu7-v,R03,2
p06,3oo3-w,R03,2
p06,3oo3-v,R03,2
p06,loo7-w,R03,2
p06,bii3-w,R03,3
p06,bii3-v,R03,3
p06,zii7-w,R03,3
p06,noom-w,R03,2
p06,muun-w,R03,2
p06,muus-w,R03,2
p06,mooz-w,R03,2
p06,7ook-w,R03,2
p06,7oom-w,R03,2
p06,3aaf-w,R03,2
p06,naa7-w,R03,2
p06,naa7-v,R03,2
p06,naam-w,R03,2
p06,naam-v,R03,2
p06,doom-w,R03,2
p06,doom-v,R03,2
p06,3oon-w,R03,2
p06,3eeb-w,R03,2
p06,3eeb-v,R03,2
p06,3aam-w,R03,2
p06,7aad-w,R03,2
p06,3een-w,R03,2
p06,3iish-w,R03,3
p06,7eef-w,R03,2
p06,7eef-v,R03,2
p06,saam-w,R03,2
p06,saam-v,R03,2
p06,baa3-w,R03,3
p06,beet-w,R03,2
p06,boosh-w,R03,2
p07,noo3-w,R03,3
p07,noo3-v,R03,2
p07,djuu3-w,R03,2
p07,djuu3-v,R03,2
p07,nuu7-w,R03,3
p07,nuu7-v,R03,2
p07,3oo3-w,R03,3
p07,3oo3-v,R03,2
p07,loo7-w,R03,3
p07,bii3-w,R03,3
p07,bii3-v,R03,2
p07,zii7-w,R03,3
p07,daas-w,R03,2
p07,maat-w,R03,2
p07,maat-v,R03,2
p07,7en-w,R03,2
p07,diin-w,R03,3
p07,zaa7-w,R03,2
p07,naa7-w,R03,2
p07,naa7-v,R03,2
p07,naam-w,R03,2
p07,naam-v,R03,2
p07,doom-w,R03,2
p07,doom-v,R03,2
p07,3oon-w,R03,2
p07,noom-w,R03,2
p07,muun-w,R03,2
p07,muus-w,R03,2
p07,mooz-w,R03,2
p07,7ook-w,R03,2
p07,7oom-w,R03,2
p07,3aaf-w,R03,2
p07,3eeb-w,R03,3
p07,3eeb-v,R03,2
p07,saam-w,R03,2
p07,saam-v,R03,2
p07,3aam-w,R03,2
p07,7aad-w,R03,2
p07,3een-w,R03,2
p07,3iish-w,R03,2
p07,7eef-w,R03,2
p07,7eef-v,R03,2
p07,baa3-w,R03,2
p07,beet-w,R03,2
p07,boosh-w,R03,2
p08,noo3-w,R03,2
p08,noo3-v,R03,2
p08,daas-w,R03,2
p08,maat-w,R03,2
p08,maat-v,R03,2
p08,7en-w,R03,3
p08,diin-w,R03,2
p08,djuu3-w,R03,3
p08,djuu3-v,R03,2
p08,nuu7-w,R03,3
p08,nuu7-v,R03,2
p08,3oo3-w,R03,2
p08,3oo3-v,R03,2
p08,loo7-w,R03,2
p08,bii3-w,R03,2
p08,bii3-v,R03,2
p08,zii7-w,R03,3
p08,zaa7-w,R03,3
p08,doom-w,R03,2
p08,doom-v,R03,2
p08,3oon-w,R03,3
p08,noom-w,R03,2
p08,muun-w,R03,2
p08,muus-w,R03,2
p08,mooz-w,R03,2
p08,7ook-w,R03,2
p08,7oom-w,R03,3
p08,3aaf-w,R03,2
p08,naa7-w,R03,3
p08,naa7-v,R03,2
p08,naam-w,R03,2
p08,naam-v,R03,2
p08,3eeb-w,R03,2
p08,3eeb-v,R03,2
p08,saam-w,R03,2
p08,saam-v,R03,2
p08,3aam-w,R03,2
p08,7aad-w,R03,3
p08,3een-w,R03,3
p08,3iish-w,R03,3
p08,7eef-w,R03,2
p08,7eef-v,R03,2
p08,baa3-w,R03,2
p08,beet-w,R03,2
p08,boosh-w,R03,2
p09,noo3-w,R03,3
p09,noo3-v,R03,2
p09,daas-w,R03,2
p09,maat-w,R03,2
p09,maat-v,R03,2
p09,7en-w,R03,3
p09,diin-w,R03,2
p09,zaa7-w,R03,2
p09,djuu3-w,R03,3
p09,djuu3-v,R03,2
p09,nuu7-w,R03,2
p09,nuu7-v,R03,2
p09,3oo3-w,R03,3
p09,3oo3-v,R03,2
p09,loo7-w,R03,2
p09,bii3-w,R03,3
p09,bii3-v,R03,2
p09,zii7-w,R03,3
p09,noom-w,R03,1
p09,muun-w,R03,2
p09,muus-w,R03,2
p09,mooz-w,R03,2
p09,7ook-w,R03,1
p09,7oom-w,R03,1
p09,3aaf-w,R03,3
p09,naa7-w,R03,2
p09,naa7-v,R03,2
p09,naam-w,R03,2
p09,naam-v,R03,3
p09,doom-w,R03,2
p09,doom-v,R03,2
p09,3oon-w,R03,3
p09,3eeb-w,R03,2
p09,3eeb-v,R03,2
p09,saam-w,R03,2
p09,saam-v,R03,2
p09,3aam-w,R03,2
p09,7aad-w,R03,3
p09,3een-w,R03,3
p09,3iish-w,R03,3
p09,7eef-w,R03,1
p09,7eef-v,R03,2
p09,baa3-w,R03,2
p09,beet-w,R03,2
p09,boosh-w,R03,2
p04,noo3-w,R04,2
p04,noo3-v,R04,1
p04,djuu3-w,R04,1
p04,djuu3-v,R04,1
p04,nuu7-w,R04,1
p04,nuu7-v,R04,1
p04,3oo3-w,R04,2
p04,3oo3-v,R04,2
p04,loo7-w,R04,2
p04,bii3-w,R04,2
p04,bii3-v,R04,2
p04,zii7-w,R04,3
p04,daas-w,R04,1
p04,maat-w,R04,2
p04,maat-v,R04,2
p04,7en-w,R04,2
p04,diin-w,R04,1
p04,zaa7-w,R04,1
p04,naa7-w,R04,2
p04,naa7-v,R04,1
p04,naam-w,R04,1
p04,naam-v,R04,1
p04,doom-w,R04,2
p04,doom-v,R04,2
p04,3oon-w,R04,2
p04,noom-w,R04,2
p04,muun-w,R04,2
p04,muus-w,R04,2
p04,mooz-w,R04,1
p04,7ook-w,R04,2
p04,7oom-w,R04,1
p04,3aaf-w,R04,1
p04,3eeb-w,R04,3
p04,3eeb-v,R04,1
p04,3aam-w,R04,2
p04,7aad-w,R04,2
p04,3een-w,R04,2
p04,3iish-w,R04,2
p04,7eef-w,R04,2
p04,7eef-v,R04,1
p04,saam-w,R04,2
p04,saam-v,R04,2
p04,baa3-w,R04,2
p04,beet-w,R04,1
p04,boosh-w,R04,2
p01,noo3-w,R04,3
p01,noo3-v,R04,2
p01,daas-w,R04,2
p01,maat-w,R04,2
p01,maat-v,R04,2
p01,7en-w,R04,3
p01,diin-w,R04,2
p01,zaa7-w,R04,2
p01,djuu3-w,R04,2
p01,djuu3-v,R04,2
p01,nuu7-w,R04,2
p01,nuu7-v,R04,1
p01,3oo3-w,R04,3
p01,3oo3-v,R04,2
p01,loo7-w,R04,2
p01,bii3-w,R04,2
p01,bii3-v,R04,3
p01,zii7-w,R04,2
p01,3oon-w,R04,3
p01,noom-w,R04,3
p01,muun-w,R04,2
p01,muus-w,R04,2
p01,mooz-w,R04,2
p01,7ook-w,R04,2
p01,7oom-w,R04,2
p01,3aaf-w,R04,3
p01,naa7-w,R04,2
p01,naa7-v,R04,2
p01,naam-w,R04,3
p01,naam-v,R04,2
p01,doom-w,R04,2
p01,doom-v,R04,2
p01,3eeb-w,R04,3
p01,3eeb-v,R04,2
p01,3aam-w,R04,3
p01,7aad-w,R04,3
p01,3een-w,R04,3
p01,3iish-w,R04,3
p01,7eef-w,R04,3
p01,7eef-v,R04,2
p01,saam-w,R04,2
p01,saam-v,R04,2
p01,baa3-w,R04,2
p01,beet-w,R04,2
p01,boosh-w,R04,2
p05,noo3-w,R04,1
p05,noo3-v,R04,2
p05,daas-w,R04,1
p05,maat-w,R04,2
p05,maat-v,R04,1
p05,7en-w,R04,2
p05,diin-w,R04,1
p05,zaa7-w,R04,2
p05,djuu3-w,R04,2
p05,djuu3-v,R04,2
p05,nuu7-w,R04,2
p05,nuu7-v,R04,2
p05,3oo3-w,R04,3
p05,3oo3-v,R04,1
p05,loo7-w,R04,1
p05,bii3-w,R04,3
p05,bii3-v,R04,1
p05,zii7-w,R04,1
p05,noom-w,R04,2
p05,muun-w,R04,1
p05,muus-w,R04,1
p05,mooz-w,R04,3
p05,7ook-w,R04,3
p05,7oom-w,R04,3
p05,3aaf-w,R04,3
p05,naa7-w,R04,2
p05,naa7-v,R04,2
p05,naam-w,R04,1
p05,naam-v,R04,2
p05,doom-w,R04,1
p05,doom-v,R04,1
p05,3oon-w,R04,3
p05,3eeb-w,R04,2
p05,3eeb-v,R04,2
p05,saam-w,R04,1
p05,saam-v,R04,2
p05,3aam-w,R04,3
p05,7aad-w,R04,3
p05,3een-w,R04,3
p05,3iish-w,R04,2
p05,7eef-w,R04,1
p05,7eef-v,R04,2
p05,baa3-w,R04,3
p05,beet-w,R04,2
p05,boosh-w,R04,2
p02,noo3-w,R04,2
p02,noo3-v,R04,1
p02,daas-w,R04,1
p02,maat-w,R04,1
p02,maat-v,R04,2
p02,7en-w,R04,3
p02,diin-w,R04,1
p02,zaa7-w,R04,2
p02,djuu3-w,R04,2
p02,djuu3-v,R04,1
p02,nuu7-w,R04,2
p02,nuu7-v,R04,1
p02,3oo3-w,R04,3
p02,3oo3-v,R04,2
p02,loo7-w,R04,2
p02,bii3-w,R04,2
p02,bii3-v,R04,2
p02,zii7-w,R04,2
p02,muus-w,R04,2
p02,mooz-w,R04,2
p02,7ook-w,R04,2
p02,7oom-w,R04,2
p02,naa7-w,R04,1
p02,3aaf-w,R04,2
p02,naa7-v,R04,1
p02,naam-w,R04,1
p02,naam-v,R04,1
p02,doom-w,R04,2
p02,doom-v,R04,2
p02,3oon-w,R04,2
p02,noom-w,R04,2
p02,muun-w,R04,2
p02,3eeb-w,R04,3
p02,saam-w,R04,2
p02,saam-v,R04,2
p02,3eeb-v,R04,3
p02,3aam-w,R04,2
p02,7aad-w,R04,2
p02,3een-w,R04,2
p02,3iish-w,R04,2
p02,7eef-w,R04,2
p02,7eef-v,R04,1
p02,baa3-w,R04,2
p02,beet-w,R04,2
p02,boosh-w,R04,2
p03,noo3-w,R04,2
p03,noo3-v,R04,2
p03,daas-w,R04,1
p03,maat-w,R04,2
p03,maat-v,R04,2
p03,7en-w,R04,3
p03,diin-w,R04,1
p03,zaa7-w,R04,2
p03,djuu3-w,R04,2
p03,djuu3-v,R04,2
p03,nuu7-w,R04,2
p03,nuu7-v,R04,2
p03,3oo3-w,R04,3
p03,3oo3-v,R04,2
p03,loo7-w,R04,3
p03,bii3-w,R04,1
p03,bii3-v,R04,1
p03,zii7-w,R04,3
p03,muun-w,R04,2
p03,muus-w,R04,2
p03,mooz-w,R04,2
p03,7ook-w,R04,3
p03,7oom-w,R04,2
p03,3aaf-w,R04,3
p03,naa7-w,R04,2
p03,naa7-v,R04,2
p03,naam-w,R04,2
p03,naam-v,R04,2
p03,doom-w,R04,2
p03,doom-v,R04,2
p03,3oon-w,R04,2
p03,noom-w,R04,2
p03,3eeb-w,R04,3
p03,3eeb-v,R04,2
p03,3aam-w,R04,3
p03,7aad-w,R04,3
p03,3een-w,R04,2
p03,3iish-w,R04,3
p03,7eef-w,R04,2
p03,7eef-v,R04,2
p03,saam-w,R04,2
p03,saam-v,R04,2
p03,baa3-w,R04,2
p03,beet-w,R04,1
p03,boosh-w,R04,3
p06,noo3-w,R04,1
p06,noo3-v,R04,1
p06,daas-w,R04,1
p06,maat-w,R04,1
p06,maat-v,R04,1
p06,7en-w,R04,1
p06,diin-w,R04,1
p06,zaa7-w,R04,1
p06,djuu3-w,R04,1
p06,djuu3-v,R04,1
p06,nuu7-w,R04,1
p06,nuu7-v,R04,1
p06,3oo3-w,R04,1
p06,3oo3-v,R04,1
p06,loo7-w,R04,1
p06,bii3-w,R04,1
p06,bii3-v,R04,1
p06,zii7-w,R04,1
p06,noom-w,R04,1
p06,muun-w,R04,1
p06,muus-w,R04,1
p06,mooz-w,R04,1
p06,7ook-w,R04,1
p06,7oom-w,R04,1
p06,3aaf-w,R04,1
p06,naa7-w,R04,1
p06,naa7-v,R04,1
p06,naam-w,R04,1
p06,naam-v,R04,1
p06,doom-w,R04,1
p06,doom-v,R04,1
p06,3oon-w,R04,2
p06,3eeb-w,R04,2
p06,3eeb-v,R04,1
p06,3aam-w,R04,1
p06,7aad-w,R04,3
p06,3een-w,R04,2
p06,3iish-w,R04,2
p06,7eef-w,R04,2
p06,7eef-v,R04,2
p06,saam-w,R04,2
p06,saam-v,R04,1
p06,baa3-w,R04,3
p06,beet-w,R04,1
p06,boosh-w,R04,2
p07,noo3-w,R04,1
p07,noo3-v,R04,2
p07,djuu3-w,R04,2
p07,djuu3-v,R04,2
p07,nuu7-w,R04,2
p07,nuu7-v,R04,2
p07,3oo3-w,R04,3
p07,3oo3-v,R04,2
p07,loo7-w,R04,2
p07,bii3-w,R04,2
p07,bii3-v,R04,2
p07,zii7-w,R04,2
p07,daas-w,R04,3
p07,maat-w,R04,3
p07,maat-v,R04,3
p07,7en-w,R04,2
p07,diin-w,R04,1
p07,zaa7-w,R04,3
p07,naa7-w,R04,3
p07,naa7-v,R04,2
p07,naam-w,R04,2
p07,naam-v,R04,2
p07,doom-w,R04,2
p07,doom-v,R04,2
p07,3oon-w,R04,2
p07,noom-w,R04,2
p07,muun-w,R04,2
p07,muus-w,R04,2
p07,mooz-w,R04,2
p07,7ook-w,R04,2
p07,7oom-w,R04,2
p07,3aaf-w,R04,3
p07,3eeb-w,R04,3
p07,3eeb-v,R04,2
p07,saam-w,R04,2
p07,saam-v,R04,2
p07,3aam-w,R04,2
p07,7aad-w,R04,2
p07,3een-w,R04,2
p07,3iish-w,R04,3
p07,7eef-w,R04,2
p07,7eef-v,R04,3
p07,baa3-w,R04,2
p07,beet-w,R04,2
p07,boosh-w,R04,2
p08,noo3-w,R04,3
p08,noo3-v,R04,2
p08,daas-w,R04,2
p08,maat-w,R04,3
p08,maat-v,R04,1
p08,7en-w,R04,3
p08,diin-w,R04,1
p08,djuu3-w,R04,1
p08,djuu3-v,R04,1
p08,nuu7-w,R04,3
p08,nuu7-v,R04,1
p08,3oo3-w,R04,2
p08,3oo3-v,R04,1
p08,loo7-w,R04,2
p08,bii3-w,R04,3
p08,bii3-v,R04,1
p08,zii7-w,R04,2
p08,zaa7-w,R04,3
p08,doom-w,R04,2
p08,doom-v,R04,2
p08,3oon-w,R04,3
p08,noom-w,R04,1
p08,muun-w,R04,2
p08,muus-w,R04,2
p08,mooz-w,R04,2
p08,7ook-w,R04,2
p08,7oom-w,R04,3
p08,3aaf-w,R04,3
p08,naa7-w,R04,1
p08,naa7-v,R04,1
p08,naam-w,R04,1
p08,naam-v,R04,1
p08,3eeb-w,R04,2
p08,3eeb-v,R04,1
p08,saam-w,R04,1
p08,saam-v,R04,3
p08,3aam-w,R04,3
p08,7aad-w,R04,3
p08,3een-w,R04,3
p08,3iish-w,R04,1
p08,7eef-w,R04,3
p08,7eef-v,R04,2
p08,baa3-w,R04,2
p08,beet-w,R04,2
p08,boosh-w,R04,2
p09,noo3-w,R04,2
p09,noo3-v,R04,2
p09,daas-w,R04,2
p09,maat-w,R04,3
p09,maat-v,R04,2
p09,7en-w,R04,3
p09,diin-w,R04,2
p09,zaa7-w,R04,2
p09,djuu3-w,R04,2
p09,djuu3-v,R04,1
p09,nuu7-w,R04,3
p09,nuu7-v,R04,1
p09,3oo3-w,R04,3
p09,3oo3-v,R04,2
p09,loo7-w,R04,2
p09,bii3-w,R04,2
p09,bii3-v,R04,2
p09,zii7-w,R04,3
p09,noom-w,R04,2
p09,muun-w,R04,2
p09,muus-w,R04,2
p09,mooz-w,R04,2
p09,7ook-w,R04,2
p09,7oom-w,R04,2
p09,3aaf-w,R04,3
p09,naa7-w,R04,2
p09,naa7-v,R04,2
p09,naam-w,R04,2
p09,naam-v,R04,3
p09,doom-w,R04,2
p09,doom-v,R04,2
p09,3oon-w,R04,3
p09,3eeb-w,R04,2
p09,3eeb-v,R04,2
p09,saam-w,R04,2
p09,saam-v,R04,2
p09,3aam-w,R04,2
p09,7aad-w,R04,2
p09,3een-w,R04,2
p09,3iish-w,R04,2
p09,7eef-w,R04,3
p09,7eef-v,R04,2
p09,baa3-w,R04,2
p09,beet-w,R04,2
